date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-04-28,210.14,-1.2744394818047624,-3.3630152550025,2.0885757731977375,63.0,0.0,63.0,Above Signal,4,20.0,False
2025-04-29,211.21,-0.5549481355968737,-2.8014018311213746,2.246453695524501,63.0,0.0,63.0,Above Signal,5,20.0,False
2025-04-30,212.5,0.11798608876082994,-2.2175242471449335,2.3355103359057634,59.0,0.0,59.0,Above Signal,6,20.0,False
2025-05-01,213.32,0.7092822920181732,-1.6321629393123123,2.3414452313304857,59.0,0.0,59.0,Above Signal,7,20.0,False
2025-05-02,205.35,0.5286820832651529,-1.1999939347968194,1.7286760180619722,38.0,20.0,18.0,Above Signal,8,70.0,False
2025-05-05,198.89,-0.13416630915688188,-0.9868284096688319,0.85266210051195,33.0,35.0,-2.0,Above Signal,9,90.0,True
2025-05-06,198.51,-0.6822764022606975,-0.925918008187205,0.24364160592650752,33.0,31.0,2.0,Above Signal,10,90.0,True
2025-05-07,196.25,-1.2842170575157184,-0.9975778180529078,-0.28663923946281056,8.0,69.0,-61.0,Below Signal,0,25.0,False
2025-05-08,197.49,-1.6422706528577748,-1.1265163850138813,-0.5157542678438936,8.0,69.0,-61.0,Below Signal,1,25.0,False
2025-05-09,198.53,-1.8211186759564555,-1.2654368432023961,-0.5556818327540594,8.0,64.0,-56.0,Below Signal,2,25.0,False
2025-05-12,210.79,-0.9624825837863966,-1.2048459913191965,0.24236340753279983,53.0,24.0,29.0,Above Signal,0,75.0,False
2025-05-13,212.93,-0.10808128554731411,-0.98549305016482,0.8774117646175059,73.0,8.0,65.0,Above Signal,1,20.0,False
2025-05-14,212.33,0.5146898886918336,-0.6854564623934893,1.200146351085323,69.0,8.0,61.0,Above Signal,2,25.0,False
2025-05-15,211.45,0.9265511803185973,-0.363054933851072,1.2896061141696693,69.0,8.0,61.0,Above Signal,3,25.0,False
2025-05-16,211.26,1.2235188454926345,-0.04574017798233074,1.2692590234749652,66.0,8.0,58.0,Above Signal,4,25.0,False
2025-05-19,208.78,1.2444078270906118,0.21228942303225778,1.032118404058354,66.0,8.0,58.0,Above Signal,5,25.0,False
2025-05-20,206.86,1.093430159372872,0.3885175703003806,0.7049125890724913,41.0,35.0,6.0,Above Signal,6,85.0,True
2025-05-21,202.09,0.5821692498006144,0.4272479062004274,0.15492134360018694,41.0,31.0,10.0,Above Signal,7,90.0,True
2025-05-22,201.36,0.11674068247418745,0.3651464614551794,-0.24840577898099198,8.0,69.0,-61.0,Below Signal,0,25.0,False
2025-05-23,195.27,-0.7350536729236978,0.14510643457940398,-0.8801601075031018,8.0,74.0,-66.0,Below Signal,1,25.0,False
