date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-04-28,391.16,0.00430895721564184,-2.2539147289822856,2.2582236861979275,71.0,0.0,71.0,Above Signal,2,20.0,False
2025-04-29,394.04,1.1071682513443193,-1.5816981329169648,2.688866384261284,71.0,0.0,71.0,Above Signal,3,20.0,False
2025-04-30,395.26,2.0559364361876646,-0.854171219096039,2.9101076552837037,68.0,0.0,68.0,Above Signal,4,20.0,False
2025-05-01,425.4,5.180174342418866,0.352697893206942,4.8274764492119235,77.0,0.0,77.0,Above Signal,5,15.0,False
2025-05-02,435.28,8.357053906076715,1.9535690957808964,6.403484810295819,69.0,0.0,69.0,Above Signal,6,10.0,False
2025-05-05,436.17,10.82182218066822,3.7272197127583615,7.094602467909859,77.0,8.0,69.0,Above Signal,7,20.0,False
2025-05-06,433.31,12.401434678645387,5.462062705935767,6.93937197270962,77.0,8.0,69.0,Above Signal,8,20.0,False
2025-05-07,433.35,13.500886810352313,7.0698275268190764,6.431059283533236,77.0,8.0,69.0,Above Signal,9,20.0,False
2025-05-08,438.17,14.59292609518991,8.574447240493244,6.018478854696665,61.0,28.0,33.0,Above Signal,10,60.0,False
2025-05-09,438.73,15.326883642054781,9.924934520805552,5.401949121249229,50.0,24.0,26.0,Above Signal,11,50.0,False
2025-05-12,449.26,16.567256265472565,11.253398869738955,5.31385739573361,50.0,24.0,26.0,Above Signal,12,50.0,False
2025-05-13,449.14,17.340684887632108,12.470856073317586,4.869828814314522,50.0,24.0,26.0,Above Signal,13,50.0,False
2025-05-14,452.94,18.05216674388089,13.587118207430247,4.465048536450642,50.0,24.0,26.0,Above Signal,14,60.0,False
2025-05-15,453.13,18.419029545854983,14.553500475115197,3.865529070739786,45.0,24.0,21.0,Above Signal,15,60.0,False
2025-05-16,454.27,18.587494367391912,15.36029925357054,3.227195113821372,45.0,28.0,17.0,Above Signal,16,65.0,True
2025-05-19,458.87,18.874610744751124,16.063161551806658,2.8114491929444654,40.0,28.0,12.0,Above Signal,17,65.0,True
2025-05-20,458.17,18.82862373846848,16.616253989139025,2.2123697493294543,40.0,31.0,9.0,Above Signal,18,80.0,True
2025-05-21,452.57,18.131299175273,16.919263026365822,1.2120361489071776,35.0,31.0,4.0,Above Signal,19,85.0,True
2025-05-22,454.86,17.561015837438674,17.047613588580393,0.5134022488582808,35.0,31.0,4.0,Above Signal,20,90.0,True
2025-05-23,450.18,16.54075378258335,16.946241627380985,-0.40548784479763356,0.0,61.0,-61.0,Below Signal,0,25.0,False
2025-05-27,460.69,16.391309109604663,16.83525512382572,-0.4439460142210585,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-05-28,457.36,15.821786256306723,16.63256135032192,-0.8107750940151988,0.0,56.0,-56.0,Below Signal,2,25.0,False
2025-05-29,458.68,15.300572781428741,16.366163636543284,-1.065590855114543,0.0,56.0,-56.0,Below Signal,3,25.0,False
2025-05-30,460.36,14.851866238075104,16.06330415684965,-1.2114379187745463,0.0,53.0,-53.0,Below Signal,4,25.0,False
2025-06-02,461.97,14.459496539002316,15.742542633280184,-1.2830460942778679,0.0,53.0,-53.0,Below Signal,5,25.0,False
2025-06-03,462.97,14.067075874042132,15.407449281432575,-1.3403734073904428,0.0,49.0,-49.0,Below Signal,6,25.0,False
2025-06-04,463.87,13.671110100936005,15.06018144533326,-1.389071344397255,0.0,54.0,-54.0,Below Signal,7,25.0,False
2025-06-05,467.68,13.509016004047396,14.749948357076088,-1.2409323530286915,0.0,49.0,-49.0,Below Signal,8,25.0,False
2025-06-06,470.38,13.443454919544308,14.488649669569732,-1.0451947500254235,35.0,33.0,2.0,Below Signal,9,85.0,True
2025-06-09,472.75,13.427947461092685,14.276509227874325,-0.8485617667816392,31.0,33.0,-2.0,Below Signal,10,80.0,True
2025-06-10,470.92,13.116789794658075,14.044565341231076,-0.9277755465730007,28.0,27.0,1.0,Below Signal,11,75.0,True
2025-06-11,472.62,12.859138747797203,13.807480022544302,-0.948341274747099,28.0,27.0,1.0,Below Signal,12,75.0,True
2025-06-12,478.87,13.009307998857253,13.647845617806894,-0.6385376189496412,35.0,27.0,8.0,Below Signal,13,90.0,True
2025-06-13,474.96,12.666798916367497,13.451636277519016,-0.7848373611515189,28.0,27.0,1.0,Below Signal,14,75.0,True
2025-06-16,479.14,12.587547653261652,13.278818552667545,-0.6912708994058931,28.0,27.0,1.0,Below Signal,15,75.0,True
2025-06-17,478.04,12.294259083554664,13.08190665884497,-0.7876475752903058,28.0,27.0,1.0,Below Signal,16,75.0,True
2025-06-18,480.24,12.099867650495867,12.88549885717515,-0.7856312066792839,0.0,43.0,-43.0,Below Signal,17,25.0,False
2025-06-20,477.4,11.583123733991101,12.625023832538341,-1.0419000985472398,0.0,47.0,-47.0,Below Signal,18,20.0,False
2025-06-23,486.0,11.732305865117098,12.446480239054093,-0.714174373936995,0.0,43.0,-43.0,Below Signal,19,25.0,False
2025-06-24,490.11,12.043348208704458,12.365853832984167,-0.3225056242797084,35.0,27.0,8.0,Below Signal,20,95.0,True
2025-06-25,492.27,12.322103911415923,12.35710384867052,-0.0349999372545966,31.0,21.0,10.0,Below Signal,21,90.0,True
2025-06-26,497.45,12.813298790618148,12.448342837060046,0.36495595355810195,61.0,0.0,61.0,Above Signal,0,25.0,False
2025-06-27,495.94,12.931661743946165,12.54500661843727,0.386655125508895,61.0,0.0,61.0,Above Signal,1,25.0,False
2025-06-30,497.41,12.994291844200973,12.63486366359001,0.35942818061096204,56.0,0.0,56.0,Above Signal,2,25.0,False
2025-07-01,492.05,12.467699565549253,12.601430843981861,-0.13373127843260768,0.0,65.0,-65.0,Below Signal,0,20.0,False
2025-07-02,491.09,11.836464024548093,12.448437480095109,-0.611973455547016,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-07-03,498.84,11.825251403825803,12.323800264841248,-0.49854886101544515,0.0,56.0,-56.0,Below Signal,2,25.0,False
2025-07-07,497.72,11.59236115791714,12.177512443456427,-0.585151285539288,0.0,56.0,-56.0,Below Signal,3,25.0,False
2025-07-08,496.62,11.190041322428499,11.980018219250843,-0.7899768968223437,0.0,53.0,-53.0,Below Signal,4,25.0,False
