date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-04-28,108.73,-1.9696286770223423,-2.872944523039794,0.9033158460174517,66.0,0.0,66.0,Above Signal,2,25.0,False
2025-04-29,109.02,-1.5863554825550779,-2.615626714942851,1.029271232387773,66.0,0.0,66.0,Above Signal,3,25.0,False
2025-04-30,108.92,-1.2759692990544806,-2.3476952317651767,1.071725932710696,63.0,0.0,63.0,Above Signal,4,25.0,False
2025-05-01,111.61,-0.8036613854963832,-2.038888462511418,1.2352270770150349,63.0,0.0,63.0,Above Signal,5,20.0,False
2025-05-02,114.5,-0.1939197280306928,-1.669894715615273,1.4759749875845802,64.0,0.0,64.0,Above Signal,6,20.0,False
2025-05-05,113.82,0.23176299195559125,-1.2895631741011004,1.5213261660566917,64.0,0.0,64.0,Above Signal,7,20.0,False
2025-05-06,113.54,0.5402977384752603,-0.9235909915858282,1.4638887300610886,59.0,0.0,59.0,Above Signal,8,20.0,False
2025-05-07,117.06,1.0566677223470862,-0.5275392487992454,1.5842069711463316,64.0,0.0,64.0,Above Signal,9,20.0,False
2025-05-08,117.37,1.473918647348114,-0.1272476695697735,1.6011663169178876,64.0,0.0,64.0,Above Signal,10,20.0,False
2025-05-09,116.65,1.726591951581426,0.24352025466046645,1.4830716969209596,37.0,20.0,17.0,Above Signal,11,60.0,False
2025-05-12,123.0,2.4114318115752553,0.6771025660434242,1.734329245531831,62.0,0.0,62.0,Above Signal,12,15.0,False
2025-05-13,129.93,3.4733270658544626,1.236347466005632,2.236979599848831,67.0,0.0,67.0,Above Signal,13,15.0,False
2025-05-14,135.34,4.697281158912489,1.9285342045870033,2.7687469543254855,63.0,0.0,63.0,Above Signal,14,20.0,False
2025-05-15,134.83,5.562005520608537,2.6552284677913103,2.9067770528172265,63.0,0.0,63.0,Above Signal,15,20.0,False
2025-05-16,135.4,6.221581524551496,3.3684990791433473,2.8530824454081487,63.0,0.0,63.0,Above Signal,16,20.0,False
2025-05-19,135.57,6.68100339060878,4.030999941436434,2.6500034491723454,63.0,0.0,63.0,Above Signal,17,20.0,False
2025-05-20,134.38,6.869883731358968,4.598776699420942,2.271107031938026,42.0,20.0,22.0,Above Signal,18,70.0,False
2025-05-21,131.8,6.733765665207585,5.02577449257827,1.707991172629315,37.0,28.0,9.0,Above Signal,19,65.0,True
2025-05-22,132.83,6.632547628590885,5.347129119780793,1.2854185088100918,32.0,28.0,4.0,Above Signal,20,70.0,True
2025-05-23,131.29,6.3548121568417315,5.548665727192981,0.8061464296487504,26.0,31.0,-5.0,Above Signal,21,80.0,True
2025-05-27,135.5,6.400634084595609,5.719059398673507,0.6815746859221017,26.0,31.0,-5.0,Above Signal,22,80.0,True
