date,close,macd,signal,histogram,bullish_score,bearish_score,net_score,macd_position,days_since_cross,cross_probability,approaching_cross
2025-07-29,321.2,0.20794202086636915,-0.7349834028055312,0.9429254236719004,38.0,28.0,10.0,Above Signal,9,70.0,True
2025-07-30,319.04,0.08691834981215152,-0.5706030522819946,0.6575214020941461,33.0,31.0,2.0,Above Signal,10,80.0,True
2025-07-31,308.27,-0.868036587336519,-0.6300897592928996,-0.23794682804361944,8.0,73.0,-65.0,Below Signal,0,20.0,False
2025-08-01,302.63,-2.056243029976258,-0.9153204134295714,-1.1409226165466868,8.0,74.0,-66.0,Below Signal,1,25.0,False
2025-08-04,309.26,-2.4348521456628305,-1.2192267598762232,-1.2156253857866073,8.0,69.0,-61.0,Below Signal,2,25.0,False
2025-08-05,308.72,-2.7468125394837557,-1.5247439157977296,-1.222068623686026,8.0,69.0,-61.0,Below Signal,3,25.0,False
2025-08-06,319.91,-2.0672736737938067,-1.633249867396945,-0.43402380639686156,8.0,61.0,-53.0,Below Signal,4,25.0,False
2025-08-07,322.27,-1.3230506459877915,-1.5712100231151145,0.24815937712732294,69.0,8.0,61.0,Above Signal,0,25.0,False
2025-08-08,329.65,-0.13617447723964915,-1.2842029139400215,1.1480284367003724,74.0,8.0,66.0,Above Signal,1,25.0,False
2025-08-11,339.03,1.5435282131155645,-0.7186566885289043,2.262184901644469,74.0,8.0,66.0,Above Signal,2,20.0,False
2025-08-12,340.84,2.9863319937287542,0.022341047922627366,2.9639909458061267,79.0,8.0,71.0,Above Signal,3,20.0,False
2025-08-13,339.38,3.9662343062465197,0.8111196995874059,3.155114606659114,76.0,8.0,68.0,Above Signal,4,20.0,False
2025-08-14,335.58,4.385630883788963,1.5260219364277172,2.8596089473612456,76.0,8.0,68.0,Above Signal,5,20.0,False
2025-08-15,330.56,4.2637834059798365,2.0735742303381413,2.1902091756416953,51.0,28.0,23.0,Above Signal,6,70.0,False
2025-08-18,335.16,4.486680300505725,2.5561954443716584,1.9304848561340666,51.0,24.0,27.0,Above Signal,7,65.0,False
2025-08-19,329.31,4.143517693077229,2.8736598941127722,1.2698577989644564,46.0,28.0,18.0,Above Signal,8,70.0,True
2025-08-20,323.9,3.395871573945783,2.9781022300793745,0.4177693438664085,41.0,31.0,10.0,Above Signal,9,90.0,True
2025-08-21,320.11,2.4690733715043507,2.87629645836437,-0.4072230868600193,0.0,61.0,-61.0,Below Signal,0,25.0,False
2025-08-22,340.01,3.3022762229077784,2.961492411273052,0.3407838116347266,45.0,16.0,29.0,Above Signal,0,90.0,False
2025-08-25,346.6,4.443135707934232,3.2578210706052877,1.1853146373289443,50.0,16.0,34.0,Above Signal,1,70.0,False
2025-08-26,351.67,5.6907819060839415,3.7444132377010186,1.9463686683829229,66.0,0.0,66.0,Above Signal,2,25.0,False
2025-08-27,349.6,6.438302068097755,4.283191003780366,2.1551110643173894,66.0,0.0,66.0,Above Signal,3,25.0,False
2025-08-28,345.98,6.661820120181517,4.758916827060596,1.9029032931209207,63.0,0.0,63.0,Above Signal,4,25.0,False
2025-08-29,333.87,5.7949830371111375,4.966130069070704,0.8288529680404331,37.0,35.0,2.0,Above Signal,5,80.0,True
2025-09-02,329.36,4.690025401804007,4.910909135617365,-0.22088373381335735,0.0,61.0,-61.0,Below Signal,0,25.0,False
2025-09-03,334.09,4.148192207169643,4.758365749927821,-0.6101735427581776,0.0,61.0,-61.0,Below Signal,1,25.0,False
2025-09-04,338.53,4.030594209012577,4.612811441744772,-0.5822172327321953,0.0,56.0,-56.0,Below Signal,2,25.0,False
2025-09-05,350.84,4.874520629726931,4.6651532793412045,0.20936735038572607,45.0,16.0,29.0,Above Signal,0,90.0,False
2025-09-08,346.4,5.12597841655753,4.7573183067844695,0.3686601097730602,61.0,0.0,61.0,Above Signal,1,25.0,False
2025-09-09,346.97,5.310043880125022,4.86786342145258,0.4421804586724418,56.0,0.0,56.0,Above Signal,2,25.0,False
2025-09-10,347.79,5.459154498246278,4.98612163681132,0.47303286143495793,56.0,0.0,56.0,Above Signal,3,25.0,False
2025-09-11,368.81,7.190575586537932,5.427012426756643,1.763563159781289,67.0,0.0,67.0,Above Signal,4,20.0,False
2025-09-12,395.94,10.62937472310216,6.467484886025747,4.161889837076413,77.0,0.0,77.0,Above Signal,5,15.0,False
2025-09-15,410.04,14.327244420147053,8.039436792850008,6.287807627297045,69.0,0.0,69.0,Above Signal,6,20.0,False
2025-09-16,421.62,17.984923021305917,10.02853403854119,7.956388982764727,69.0,0.0,69.0,Above Signal,7,20.0,False
2025-09-17,425.86,20.983902859577938,12.219607802748541,8.764295056829397,69.0,0.0,69.0,Above Signal,8,20.0,False
2025-09-18,416.85,22.37565170312911,14.250816582824655,8.124835120304454,69.0,0.0,69.0,Above Signal,9,20.0,False
2025-09-19,426.07,23.946558612428475,16.18996498874542,7.756593623683056,69.0,0.0,69.0,Above Signal,10,20.0,False
2025-09-22,434.21,25.55377560846148,18.062727112688634,7.491048495772844,55.0,28.0,27.0,Above Signal,11,60.0,False
