Ticker,Current_Price,MACD_Value,Signal_Value,Histogram_Value,MACD_Position,Histogram_Pct_Price,Histogram_Pct_Range_90d,MACD_Strength_Score,Days_Since_Last_Cross,Last_Cross_Type,Last_Cross_MACD_Value,Histogram_Trend_5d,Histogram_Change_5d,Histogram_Acceleration,Approaching_Cross,Est_Days_To_Cross,Cross_Probability_Score,Momentum_Category,MACD_Trend_Phase,Setup_Type,Watch_Priority,MACD_Bullish_Score,MACD_Bearish_Score,MACD_Net_Score
AAPL,270.37,6.3196,5.5061,0.8135,Above Signal,0.3009,62.85,0.81,7,Bullish Cross,4.0696,Decreasing,-0.139,Accelerating,True,29.3,80.0,Weak Bullish,Mid Bullish,Approaching Bearish Cross - High Probability,4,38.0,35.0,3.0
MSFT,517.81,3.177,3.492,-0.315,Below Signal,-0.0608,53.74,-0.24,0,Bearish Cross,3.177,Decreasing,-2.3474,Decelerating,False,,25.0,Neutral,Early Bearish,Fresh Bearish Cross,4,0.0,61.0,-61.0
GOOGL,281.19,10.1636,7.6337,2.5299,Above Signal,0.8997,96.1,1.91,6,Bullish Cross,4.8981,Increasing,1.2471,Decelerating,False,,20.0,Strong Bullish,Mid Bullish,Strong Bullish Momentum,3,64.0,0.0,64.0
AMZN,244.22,3.4415,0.5897,2.8518,Above Signal,1.1677,100.0,3.25,8,Bullish Cross,-2.2904,Increasing,1.3839,Decelerating,False,,20.0,Very Strong Bullish,Mid Bullish,Strong Bullish Momentum,3,69.0,0.0,69.0
NVDA,202.49,5.5978,3.6631,1.9348,Above Signal,0.9555,94.64,2.15,5,Bullish Cross,1.4738,Increasing,0.8678,Decelerating,False,,20.0,Very Strong Bullish,Early Bullish,Strong Bullish Momentum,3,73.0,0.0,73.0
TSLA,456.56,10.8139,11.503,-0.6891,Below Signal,-0.1509,32.05,-0.22,21,Bearish Cross,24.3235,Increasing,0.0208,Accelerating,True,50.0,85.0,Neutral,Late Bearish,Approaching Bullish Cross - High Probability,4,35.0,21.0,14.0
META,648.35,-14.4387,-6.5698,-7.8689,Below Signal,-1.2137,0.0,-2.34,2,Bearish Cross,-3.9692,Decreasing,-12.7047,Decelerating,False,,20.0,Very Strong Bearish,Early Bearish,Fresh Bearish Cross,5,8.0,84.0,-76.0
AMD,256.12,19.5297,19.587,-0.0573,Below Signal,-0.0224,24.02,-0.02,0,Bearish Cross,19.5297,Decreasing,-2.133,Decelerating,False,,25.0,Neutral,Early Bearish,Fresh Bearish Cross,4,0.0,61.0,-61.0
NFLX,1118.86,-27.5595,-21.9576,-5.6019,Below Signal,-0.5007,37.0,-0.9,8,Bearish Cross,-4.7668,Increasing,6.6594,Decelerating,True,4.2,80.0,Weak Bearish,Mid Bearish,Approaching Bullish Cross - High Probability,4,31.0,46.0,-15.0
INTC,39.99,2.1815,2.3286,-0.1471,Below Signal,-0.3677,23.13,-0.44,2,Bearish Cross,2.3611,Decreasing,-0.0973,Accelerating,False,,20.0,Neutral,Early Bearish,Fresh Bearish Cross,4,0.0,60.0,-60.0
