Ticker,Current_Price,MACD_Value,Signal_Value,Histogram_Value,MACD_Position,Histogram_Pct_Price,Histogram_Pct_Range_90d,MACD_Strength_Score,Days_Since_Last_Cross,Last_Cross_Type,Last_Cross_MACD_Value,Histogram_Trend_5d,Histogram_Change_5d,Histogram_Acceleration,Approaching_Cross,Est_Days_To_Cross,Cross_Probability_Score,Momentum_Category,MACD_Trend_Phase,Setup_Type,Watch_Priority,MACD_Bullish_Score,MACD_Bearish_Score,MACD_Net_Score
AAPL,271.27,6.368,5.3172,1.0509,Above Signal,0.3874,68.3,1.04,6,Bullish Cross,4.0696,Increasing,0.3264,Decelerating,False,,25.0,Strong Bullish,Mid Bullish,Neutral/Consolidating,1,59.0,0.0,59.0
MSFT,517.62,4.0305,3.5677,0.4627,Above Signal,0.0894,66.47,0.35,6,Bullish Cross,1.5987,Decreasing,-0.5485,Accelerating,True,4.2,95.0,Neutral,Mid Bullish,Approaching Bearish Cross - High Probability,4,41.0,35.0,6.0
GOOGL,280.6,9.5682,6.9918,2.5764,Above Signal,0.9182,96.96,1.97,5,Bullish Cross,4.8981,Increasing,1.5898,Decelerating,False,,20.0,Strong Bullish,Early Bullish,Strong Bullish Momentum,3,68.0,0.0,68.0
AMZN,246.89,2.4083,-0.0807,2.489,Above Signal,1.0081,100.0,3.02,7,Bullish Cross,-2.2904,Increasing,1.371,Accelerating,False,,15.0,Very Strong Bullish,Mid Bullish,Strong Bullish Momentum,3,73.0,0.0,73.0
NVDA,203.73,5.3834,3.1992,2.1842,Above Signal,1.0721,100.0,2.49,4,Bullish Cross,1.4738,Increasing,2.0647,Decelerating,False,,20.0,Very Strong Bullish,Early Bullish,Strong Bullish Momentum,3,73.0,0.0,73.0
TSLA,451.87,10.47,11.6005,-1.1305,Below Signal,-0.2502,28.87,-0.36,20,Bearish Cross,24.3235,Increasing,0.6047,Decelerating,True,9.3,80.0,Neutral,Late Bearish,Approaching Bullish Cross - High Probability,4,31.0,27.0,4.0
META,651.09,-9.6841,-4.5588,-5.1253,Below Signal,-0.7872,8.64,-1.56,1,Bearish Cross,-3.9692,Decreasing,-9.5063,Decelerating,False,,25.0,Strong Bearish,Early Bearish,Fresh Bearish Cross,5,8.0,84.0,-76.0
AMD,255.53,20.144,19.592,0.552,Above Signal,0.216,29.45,0.23,28,Bullish Cross,-1.387,Decreasing,-1.6217,Decelerating,True,1.7,90.0,Neutral,Late Bullish,Approaching Bearish Cross - High Probability,5,29.0,31.0,-2.0
NFLX,1120.08,-28.5264,-20.5377,-7.9887,Below Signal,-0.7132,26.94,-1.28,7,Bearish Cross,-4.7668,Increasing,4.4657,Accelerating,True,8.9,75.0,Weak Bearish,Mid Bearish,Approaching Bullish Cross - High Probability,4,32.0,51.0,-19.0
INTC,39.94,2.2713,2.3646,-0.0933,Below Signal,-0.2336,27.03,-0.28,1,Bearish Cross,2.3611,Increasing,0.1254,Decelerating,False,3.7,85.0,Neutral,Early Bearish,Fresh Bearish Cross,4,16.0,45.0,-29.0
